58.22	E
58.29	B
58.50	C
58.57	F
58.78	B
58.92	H
58.99	D
59.13	B
59.62	C
59.69	G
59.83	C
59.90	E
59.97	B
60.11	G
60.32	B
61.02	C
61.09	B
61.30	F
61.37	E
61.44	B
61.51	E
61.65	X
62.65	C
62.80	B
63.01	H
63.08	C
63.22	B
63.36	X
64.05	B
64.12	C
64.25	B
64.53	E
64.74	F
64.95	A
65.09	B
65.19	C
65.33	B
65.54	X
66.03	B
66.41	C
66.62	A
66.70	C
66.77	B
66.84	C
66.91	G
67.05	F
67.19	X
67.80	F
68.00	B
68.14	A
68.22	B
68.43	C
68.50	B
68.78	C
68.92	B
69.06	C
69.13	B
69.41	E
69.62	B
69.76	X
70.79	C
70.96	B
71.31	C
71.38	B
71.73	C
71.87	B
72.15	X
72.32	B
72.40	F
72.68	B
72.82	C
72.96	H
73.03	B
73.10	C
73.31	H
73.38	C
73.45	B
73.94	G
74.01	B
74.15	E
74.22	C
74.36	B
74.71	X
75.66	B
75.85	G
75.99	B
76.48	A
76.56	C
76.88	B
77.39	A
77.51	B
77.64	C
77.78	F
78.13	B
78.27	E
78.34	A
78.43	C
78.48	B
78.52	X
79.66	B
79.75	F
79.89	D
80.03	B
80.31	C
80.66	B
81.04	G
81.09	C
81.21	B
81.49	C
81.63	G
81.77	B
81.98	X
82.35	B
82.51	C
82.58	B
82.79	A
82.91	B
82.95	C
82.99	B
83.27	X
84.96	B
85.25	A
85.33	B
85.43	G
85.50	E
85.57	B
85.78	G
85.92	B
86.27	X
86.43	B
86.51	F
86.58	C
86.65	B
86.86	F
86.93	B
87.07	C
87.14	D
87.28	B
87.56	C
87.77	B
88.19	E
88.33	C
88.40	B
88.93	F
88.97	C
89.01	B
89.15	F
89.22	B
89.36	C
89.50	B
89.78	C
90.06	B
90.27	A
90.35	D
90.51	B
90.65	C
90.72	B
90.86	A
90.96	C
91.15	B
91.22	G
91.29	C
91.43	B
91.64	E
91.78	B
91.92	A
92.00	F
92.06	B
92.32	A
92.40	B
92.56	E
92.77	B
92.98	C
93.26	B
93.33	X
93.89	C
94.21	B
94.28	C
94.35	B
94.63	A
94.71	E
94.86	F
95.00	B
95.07	A
95.15	B
95.20	C
95.24	B
95.31	C
95.45	B
95.52	A
95.60	B
95.67	G
95.74	E
95.88	B
96.09	C
96.51	B
96.72	D
96.91	C
96.96	B
97.28	C
97.42	B
97.49	A
97.58	C
97.72	B
98.35	F
98.42	B
98.84	A
98.92	C
99.01	B
99.08	E
99.29	B
99.53	C
100.12	B
100.26	C
100.40	E
100.47	C
100.75	B
101.31	A
101.39	D
101.52	B
101.80	D
102.01	C
102.09	X
102.88	C
102.94	B
103.06	C
103.20	A
103.28	B
103.79	F
103.86	E
103.93	B
104.07	F
104.14	B
104.21	C
104.28	G
104.35	B
104.56	G
104.63	B
104.91	D
105.05	B
105.12	X
106.20	B
106.28	A
106.36	E
106.44	B
106.58	C
106.65	A
106.73	B
106.96	C
107.10	B
107.17	A
107.25	C
107.35	B
107.42	C
107.49	H
107.56	D
107.70	B
108.26	C
108.33	B
108.47	C
108.54	A
108.68	B
108.72	G
108.76	B
108.83	A
108.91	D
109.05	B
109.12	E
109.40	B
109.52	C
109.66	B
109.73	C
109.80	B
110.50	C
110.57	H
110.64	C
110.71	B
110.78	F
110.85	B
110.99	C
111.13	B
111.34	A
111.42	B
111.57	C
111.64	A
111.72	B
112.00	C
112.42	H
112.56	C
112.84	B
113.20	A
113.28	C
113.35	B
113.56	E
113.77	F
113.91	B
114.05	C
114.47	G
114.54	C
114.61	B
114.89	C
114.96	A
115.03	C
115.22	A
115.30	B
115.82	E
116.03	F
116.45	X
116.57	B
116.84	A
116.96	C
117.02	F
117.42	B
117.49	C
117.77	F
117.84	C
117.91	A
118.00	C
118.08	B
118.15	H
118.22	D
118.36	B
118.43	G
118.57	X
119.45	D
119.61	B
119.75	F
119.89	B
119.96	H
120.34	B
120.44	A
120.52	H
120.67	B
121.23	C
121.50	B
122.19	C
122.33	B
122.54	C
122.61	E
122.68	C
122.89	B
123.32	A
123.41	C
123.47	B
123.73	C
124.08	X
124.73	B
125.05	C
125.51	B
125.79	H
125.93	B
126.14	A
126.22	E
126.32	B
126.60	X
126.78	B
126.98	C
127.12	B
127.26	C
127.40	B
127.61	F
127.89	B
128.03	C
128.38	X
128.74	C
128.81	B
128.87	C
129.01	G
129.08	E
129.15	F
129.57	B
129.75	C
129.94	G
130.01	E
130.08	B
130.22	E
130.43	B
130.64	A
130.79	X
131.42	B
131.70	F
131.91	C
131.98	D
132.05	B
132.57	C
132.70	E
132.84	C
132.91	F
132.98	B
133.05	C
133.26	B
133.33	A
133.41	B
133.64	E
133.78	C
133.97	B
134.15	A
134.23	C
134.33	B
134.54	C
134.61	B
135.14	C
135.29	B
135.64	F
135.85	C
135.92	D
135.99	B
136.06	C
136.41	B
136.48	C
136.62	B
136.83	C
136.90	B
137.04	F
137.25	E
137.39	H
137.46	B
137.67	X
137.88	B
138.01	C
138.54	E
138.61	F
138.85	C
138.92	B
139.13	C
139.20	A
139.28	B
139.44	F
139.65	C
139.72	D
139.86	B
140.07	E
140.21	F
140.28	C
140.35	B
140.49	C
140.56	H
140.63	B
140.70	A
140.78	C
140.98	B
141.40	G
141.47	B
141.61	E
141.75	C
141.82	B
141.96	C
142.17	B
142.31	X
142.82	B
142.98	D
143.12	B
143.54	E
143.75	B
143.82	F
144.03	B
144.17	C
144.38	B
144.52	C
144.73	B
144.94	A
145.02	E
145.10	B
145.24	C
145.31	B
145.56	C
145.88	D
145.95	B
146.16	C
146.30	B
146.58	X
146.70	B
147.01	G
147.08	B
147.22	A
147.30	B
147.69	E
147.90	F
148.11	X
148.24	B
148.37	F
148.58	B
149.14	C
149.35	D
149.56	B
149.63	C
149.84	B
150.19	C
150.33	E
150.40	C
150.54	B
150.96	A
151.04	C
151.11	B
151.31	C
151.66	X
152.37	C
152.44	B
152.85	A
152.93	C
153.14	E
153.28	X
153.67	F
153.76	B
153.97	C
154.11	E
154.18	F
154.25	E
154.32	B
154.46	E
154.67	B
155.02	C
155.09	H
155.16	B
155.23	A
155.31	C
155.41	B
155.55	A
155.64	C
155.71	B
155.91	C
156.19	A
156.27	C
156.48	B
156.62	A
156.70	D
156.98	B
157.12	C
157.54	B
157.61	C
157.68	B
158.10	E
158.31	F
158.38	C
158.52	B
158.59	F
158.80	B
159.01	D
159.22	B
159.36	F
159.50	B
160.06	A
160.31	C
160.52	B
160.66	C
160.73	B
160.80	G
160.87	E
161.08	B
161.15	D
161.29	B
161.36	A
161.47	C
161.54	B
162.58	C
162.86	E
163.07	F
163.21	B
163.42	A
163.59	C
163.66	B
163.73	E
164.15	B
164.29	X
164.77	A
164.89	D
165.16	B
165.23	C
165.51	A
165.59	C
166.08	B
166.51	A
166.60	E
166.67	B
167.01	X
167.17	B
167.54	C
167.67	E
167.81	A
167.93	D
168.16	B
168.23	C
168.51	X
169.06	B
169.23	H
169.37	A
169.44	B
169.54	C
169.61	B
170.12	C
170.22	E
170.36	F
170.43	A
170.52	E
170.70	B
170.98	X
171.72	B
172.22	C
172.29	D
172.36	B
172.64	C
172.78	F
172.92	B
173.41	A
173.50	B
173.63	C
173.84	B
174.12	C
174.33	B
174.40	E
174.61	X
175.79	C
175.92	B
176.62	C
176.90	B
177.11	X
177.83	B
177.91	A
177.98	H
178.08	C
178.15	B
178.29	A
178.37	E
178.44	B
178.57	C
178.64	B
178.78	C
179.15	A
179.26	B
179.51	E
179.58	B
179.86	C
180.07	G
180.14	E
180.21	B
180.42	F
180.70	B
180.84	C
181.19	B
181.33	G
181.47	C
181.82	G
181.89	B
182.03	F
182.10	B
182.17	C
182.52	E
182.59	F
182.87	A
182.95	B
183.10	C
183.17	B
183.73	C
183.80	B
184.46	C
184.84	A
184.92	C
185.08	E
185.12	F
185.31	B
185.38	C
185.45	B
185.52	G
185.59	E
185.73	F
185.80	A
185.88	D
186.07	C
186.12	B
186.30	A
186.38	B
186.54	X
186.72	B
186.96	C
187.03	G
187.10	E
187.17	A
187.25	B
187.31	F
187.50	B
187.64	G
187.78	X
188.03	B
188.39	C
188.57	E
188.85	F
189.06	X
189.37	B
189.83	E
190.11	F
190.32	X
190.52	B
190.68	E
190.96	B
191.03	C
191.10	B
191.88	A
192.00	E
192.07	B
192.49	C
192.63	B
192.91	C
192.98	B
193.12	F
193.26	B
193.40	C
193.61	D
193.77	B
193.91	A
194.09	C
194.23	B
195.00	C
195.21	B
195.63	C
195.77	E
195.84	C
196.05	B
196.54	A
196.64	D
196.79	C
196.83	B
197.04	D
197.32	C
197.46	X
198.21	B
198.28	C
198.41	B
198.48	C
198.62	B
198.83	A
198.91	E
198.97	B
199.10	A
199.18	C
199.29	B
199.43	D
199.57	B
199.64	A
199.72	B
199.86	F
200.07	B
200.21	A
200.29	F
200.35	B
200.61	G
200.68	B
201.17	C
201.24	B
201.66	C
201.87	A
201.95	B
202.34	A
202.42	C
202.48	B
202.53	C
202.60	B
202.67	C
202.88	E
203.09	G
203.16	B
203.30	C
203.44	B
203.58	X
204.19	B
204.39	X
204.88	B
204.98	A
205.06	E
205.16	B
205.30	C
205.37	B
205.63	F
205.75	B
206.61	A
206.73	E
206.81	B
206.88	C
207.09	B
207.44	F
207.51	B
207.65	C
207.79	B
208.00	A
208.08	B
208.21	F
208.35	C
208.42	B
208.84	F
208.91	C
208.98	B
209.05	G
209.12	B
209.82	C
209.89	A
209.99	H
210.05	C
210.17	B
210.38	C
210.52	B
211.01	A
211.09	E
211.14	F
211.19	B
211.33	A
211.42	F
211.49	G
211.56	B
211.84	A
211.95	B
211.99	C
212.10	B
212.17	X
213.12	B
213.45	X
213.59	B
213.64	C
213.69	B
214.04	F
214.11	B
214.39	C
214.46	A
214.54	B
214.60	E
214.80	B
215.36	C
215.50	A
215.77	B
215.94	C
216.08	B
216.22	A
216.30	C
216.46	B
216.60	F
216.88	B
217.30	C
217.44	G
217.58	E
217.65	B
217.72	C
217.86	B
217.93	G
218.00	B
218.28	A
218.37	F
218.56	B
218.70	C
218.84	B
219.33	A
219.41	B
219.45	C
219.63	B
220.05	X
220.26	B
220.47	X
220.61	B
220.86	F
221.00	B
221.07	C
221.14	D
221.21	B
221.49	H
221.56	C
221.63	B
221.84	X
222.98	E
223.23	B
223.65	F
223.86	C
223.93	B
224.35	C
224.42	B
224.56	A
224.64	D
224.74	C
224.81	B
224.88	E
225.09	C
225.30	B
225.58	F
225.79	C
225.86	E
225.93	A
226.01	E
226.23	A
226.31	C
226.51	B
226.72	X
226.88	B
227.07	C
227.42	B
227.49	E
227.56	F
227.98	B
228.75	C
228.82	A
228.93	H
229.05	C
229.12	B
229.33	F
229.47	B
229.54	D
229.68	B
230.10	A
230.18	B
230.36	A
230.44	B
231.05	C
231.19	B
231.33	C
231.47	E
231.54	C
231.75	B
232.24	A
232.32	C
232.39	B
232.60	C
232.81	X
233.19	B
233.69	F
233.88	D
233.95	B
234.65	H
234.79	B
235.00	A
235.08	E
235.22	B
235.36	C
235.85	B
235.99	A
236.07	B
236.19	G
236.26	C
236.40	B
236.54	F
237.10	X
237.38	B
237.65	F
238.00	C
238.07	A
238.24	B
238.73	C
239.01	F
239.08	C
239.15	B
239.22	C
239.36	H
239.43	D
239.57	B
239.64	G
239.71	C
239.78	G
239.85	A
239.93	E
240.13	B
240.34	C
240.41	B
240.55	C
240.62	B
240.83	X
241.14	B
241.51	C
241.72	B
242.07	A
242.15	H
242.25	C
242.32	B
242.46	C
242.53	B
243.06	D
243.32	B
243.46	C
243.81	A
243.99	B
244.33	D
244.40	H
244.61	B
244.89	X
245.26	B
245.33	C
245.39	X
246.21	C
246.27	F
246.53	C
246.60	B
246.95	A
247.03	E
247.20	B
247.55	F
247.69	E
247.76	B
247.83	A
247.91	E
248.04	B
248.18	G
248.25	B
248.46	F
248.53	C
248.60	B
248.67	C
248.88	B
249.05	C
249.13	E
249.20	F
249.27	B
249.55	C
249.62	B
249.69	C
249.76	H
249.83	B
249.90	C
250.18	E
250.32	F
250.39	B
250.60	E
250.74	B
251.02	A
251.10	E
251.20	B
251.34	F
251.48	B
251.62	C
251.69	B
251.83	A
251.94	B
251.99	C
252.11	B
252.32	C
252.74	B
252.81	E
252.88	F
252.95	B
253.16	C
253.44	B
253.51	C
253.58	H
253.65	X
254.03	B
254.34	C
254.48	B
254.69	C
254.76	B
255.04	C
255.18	B
255.81	E
255.95	F
256.02	B
256.30	X
257.27	B
257.93	E
258.21	C
258.38	B
258.72	C
258.93	B
259.07	D
259.28	C
259.36	X
259.75	F
259.82	B
259.88	C
259.95	F
260.09	C
260.23	E
260.37	G
260.44	B
260.65	E
260.79	B
261.14	C
261.35	B
261.56	X
262.26	B
262.69	A
262.77	C
262.82	B
262.93	E
263.14	C
263.21	G
263.28	B
263.56	A
263.64	H
263.79	B
264.00	C
264.07	B
264.28	C
264.35	B
264.63	A
264.71	E
